epoch,train_loss,val_loss,train_acc,val_acc,val_f1,lr
1,0.88041,0.78301,0.63502,0.67516,0.48474,0.00030
2,0.70892,0.76489,0.70419,0.67935,0.59116,0.00030
3,0.61949,0.79496,0.74013,0.67474,0.59239,0.00030
4,0.54465,0.85503,0.76952,0.65834,0.58200,0.00030
5,0.47389,0.96448,0.80052,0.66410,0.57815,0.00030
6,0.40657,1.04928,0.83056,0.65497,0.57294,0.00030
7,0.34541,1.18795,0.85860,0.65411,0.56653,0.00030
8,0.29561,1.24041,0.88092,0.64421,0.56032,0.00030
9,0.25661,1.31932,0.89792,0.64427,0.55886,0.00030
10,0.22168,1.40068,0.91267,0.64014,0.55492,0.00030
